question,A1,A2,A3,A4,correct,explanation
"[שאלת העשרה] לפי נוסחת פארקלנד, מטופל הסובל מ 30% כוויה ושוקל 70 ק""ג יקבל נוזלים (בקירוב)?",ליטר בכל שעה לאורך היממה,כ- 4 ליטר ב 8 שעות הראשונות וכמות דומה ב 16 שעות הבאות,ליטר בכל שעה ב 8 שעות הראשונות,"2 ליטר בשעה הראשונה ואח""כ ליטר בכל שעה משעות היממה",A2,"נוסחת פארקלנד אומרת שצריך להכפיל את אחוז הכוויה * משקל גוף בק""ג * 4 וזוהי כמות המיליליטרים שהמטופל צריך לקבל. חצי מכמות זו תנתן ב 8 שעות הראשונות ואת השאר ב 16 שעות הבאות (סך הכל יממה). מכאן ש 30 * 70 * 4 = 8400 מ""ל, כלומר 8.4 ליטר. חצי (בערך 4 ליטר) ינתן לאורך 8 השעות הראשונות (כחצי ליטר לשעה). יש לזכור שמתן הנוזלים הדחוף יותר הוא בשעה הראשונה ואח""כ ממשיכים לתת לייצוב מצב."
"ילדה בהופעת ג'סטין ביבר, 28 נשימות, דופק 120. למה תחשדו?",MI,COPD,היפרוונטילציה,אסתמה,A3,
"בהגיעך לחתונה, הינך מבחין באדון כבן 70 ישוב על כיסא לאחר שרקד את ריקוד הציפורים. האדון מתלונן על קושי בנשימה וכאבים חזקים בחזה, שהפעם לא עוברים לאחר מנוחה ונטילת כדורים. בבדיקה: חיוור, מזיע, דופק 70, ל""ד 130/70. למה תחשוד?",אנגינה פקטוריס לא יציבה.,שלב האאורה.,היפוגליקמיה.,MI.,A4,
שכבות הלב (מהפנימית לחיצונית):,"נשימות 10, דופק 64, ל""ד 120\60","נשימות 18, דופק 68, ל""ד 100\80","נשימות 16, דופק 50, ל""ד 100\60","נשימות 16, דופק 80, ל""ד 110\80",A4,
במקרה של גוף זר בקנה נצפה ב?,שיעול עז,השתנקות,"הנפגע מכחיל ואח""כ מאדים",הנפגע מפסיק להשתמש בשרירי עזר נשימתיים,A2,"השתנקות פירושה קושי בנשימה (גם מנוע יכול להשתנק) על רקע חנק. במקרה זה המטופל משתמש בשרירי עזר נשימתיים ונכנס לאי שקט על רקע מצוקה נשימתית. לפעמים הוא גם אוחז בגרונו. המטופל קודם כל מאדים כי כלי הדם מתרחבים כדי לנסות להשיג יותר חמצן. אחר כך, כשכמות החמצן בדם פוחתת, האדם מכחיל = ציאנוזיס. הערה: גורמים להשתנקות כוללים אכילה מהירה, שיחה בזמן סעודה או שימוש בתרופות הרגעה."
"ילד בן 4 עם חום גבוה מאבד קשר עם הסביבה, גופו מתכווץ ומשתחרר לסירוגין, ולאחר מכן הוא עייף ומבולבל. — מהו המצב הסביר ביותר?",פרכוס חום,תעוקת חזה,הלם קרדיוגני,עילפון רגיל,A1,בילדים עד גיל 5 חום גבוה עלול לגרום לפרכוס חום.
בטיול שנתי ללא משאף עם התקף אסטמה. מה עושים?,לוקח משאף מחבר,נותן לנוח וממשיכים,מרגיע מפסיק פעילות ודואג לפינוי,ממליץ לנשום מהר ועמוק,A3,
המחזור הגדול מתאר את:,הדרך שעושה דם רווי חמצן לתאי הגוף וחזרה עם CO2,הדרך שעושה דם רווי CO2 לתאי הגוף וחזרה עם חמצן,הדרך שעושה דם רווי CO2 לריאה וחזרה עם חמצן,הדרך שעושה דם רווי חמצן לריאה וחזרה עם CO2,A1,
"בזמן אבטוח ההופעה של ג'סטין ביבר נקראת לילדה אשר חשה ברע. הילדה מספרת שהיא התחילה לחוש ברע לאחר שג'סטין קרץ לה. בבדיקה: 28 נשימות, דופק 120 סדיר, הילדה הינה חיוורת וחסרת מנוחה. למה תחשדו?",MI,היפרוונטלציה,COPD,אסטמה,A2,
מה ההבדל בין מכת חום להתייבשות?,אין הבדל ומדובר בתופעה דומה עם סימנים של עליית חום והפחתה בכמות נוזלי הגוף,אין הבדל כיוון שמכת חום מובילה בהכרח להתייבשות והתייבשות מובילה בהכרח למכת חום,במכת חום עולה החום אך לא בהכרח נפגע משק המים בגוף. בהתייבשות להיפך,בהתייבשות עולה החום אך לא בהכרח נפגע המוח. במכת חום יש עליית חום המלווה בפגיעה מוחית וודאית,A3,"מכת חום מתרחשת כאשר חום הגוף עולה משמעותית. אמנם תופעה זו יכולה להופיע בחפיפה עם התייבשות אך, במקרים רבים, הנפגע הקפיד לשתות מים ולמרות זאת אגר חום רב בגופו. תופעה זו מאפיינת חיילים שעוברים אימון מאומץ בתנאי מזג אויר קשים. יתכן מצב בו כמות הנוזלים בגוף פחותה מהנדרש. זה יכול להתרחש בגלל שתיה לא מספקת או בגלל איבוד נוזלים (בהזעה, הקאות או שלשולים). אם הנפגע נח במקום מוצל, חום הגוף לא אמור לעלות."
מהו יחס העיסויים להנשמות באדם מבוגר?,5:1,15:1,15:2,30:2,A4,"אמנם מדי מספר שנים משנים את ההמלצות, אך, נכון להיום, ההמלצה המקובלת ביותר היא לבצע עיסוי לב לצורך הזרמת הדם ובעקבותיו הנשמות: 30 עיסויים על כל 2 הנשמות. הסיבה לכך היא שללא עיסוי לחץ הדם יורד במהירות ואז אין ערך לכמות החמצן שעברה בהנשמה. עם זאת, כאשר מדובר במגיש עזרה ראשונה בודד, הוא אמור להתמיד עם העיסויים ולהימנע מהנשמות. הסיבה לכך היא שזמן ההנשמה אורך מספר שניות ובשניות אילו לחץ הדם יורד לרמה לא אפקטיבית. להורדת מצגת מפורטת בנושא הצלת חיים"
הסקשן שואב כל סוג הפרשה נכון/לא נכון,נכון,לא נכון,,,A2,
מהי מטרת ההחייאה?,זילוח דם אל רקמות הגוף,חיקוי פעולת לב ריאה,החזרת דופק ונשימה,שמירה על פריפוזיה מוחית,A4,
במהלך החייאה 2 בלוני חמצן קטנים נגמרו. מה תעשה?,אביא חמצן גדול מהאמבולנס,עיסויים בלבד עד בלון נוסף,אנתק שקית העשרה ואמשיך בהחייאה,אתקשר למוקד,A3,
מהו סדר פעולות ההחייאה במבוגר?,"הרחקה מגורם סיכון, פתיחת פה וסילוק הפרשות, בדיקת נשימה, שתי הנשמות פתיחה, בדיקת דופק, עיסויים והנשמות","פתיחת פה וסילוק הפרשות, בדיקת נשימה, שתי הנשמות פתיחה, הרחקה מגורם סיכון, בדיקת דופק, עיסויים והנשמות","הרחקה מגורם סיכון, פתיחת פה וסילוק הפרשות, בדיקת דופק ונשימה, הנשמה עם או ללא עיסויים לפי הצורך","הרחקה מגורם סיכון, שלושים עיסויים ושתי הנשמות לסירוגין עד להגעת עזרה רפואית",A1,"סדר הפעולות כולל קריאה לעזרה, הרחקה מגורם סיכון, עצירת דימום מסכן חיים, בדיקת הכרה, פתיחת פה וסילוק הפרשות, קיבוע ראש (אם אין התוויה נגד הזזת הראש), בדיקת נשימה. אם יש נשימה צריך להמשיך ולהשגיח עד להגעת גורם רפואי. אם אין נשימה יש לתת שתי נשימות פתיחה ולבדוק דופק. אם יש דופק ממשיכים רק בהנשמה אך אם אין דופק ממשיכים להנשים ולעסות בקצב של 30:2 . להורדת מצגת מפורטת בנושא הצלת חיים"
"באיזה סוג של פגיעות נתמקד, בעיקר, בטיפול בשטח?",בפציעות שהורגות תוך שניות,בפציעות שהורגות תוך דקות,בפציעות שהורגות תוך שעות,בפציעות שהורגות תוך ימים,A2,"בפציעות שממיתות תוך שניות לא נוכל לעזור. פציעות שהורגות תוך ימים נשארות לטיפול בית החולים. אנו מטפלים בפציעות שהורגות תוך דקות עד שעות כאשר נתחיל לטפל באילו שמסוכנות יותר (תוך דקות), למשל בעיות של שטפי דם או בעיות נשימה, ורק אח""כ נטפל בבעיות יותר ארוכות טווח כמו פציעות, כוויות ושברים. כיוון שבמקרים רבים האדם נפגע ביותר מפציעה אחת, נתחיל לטפל קודם במה שמסוכן לו ביותר, לפי העיקרון: מה שהורג קודם יטופל ראשון."
אילו סימנים מתאימים לחזה אויר בלחץ?,אתלקטזיס,סטיה מדיאסטינלית,שוק קרדיוגני,כל הסימנים לעיל,A4,"ב Tension pneumothorax מתגבר לחץ בין שני קרומי הפלאורה. לחץ זה גורם לקריסת הריאה ולתמט שלה, תופעה המכונה אתלקטזיס. בנוסף, הלחץ מפריע גם לפעילות הריאה הבריאה. המדיאסטינום הוא החלל המרכזי של בית החזה, בין שתי הריאות. שם עובר הלב, כלי הדם והלימפה. לחץ על מרכז זה גורם לסטיית הלב וכלי הדם ולקיפול (קינק) של כלי דם. קיפול זה יכול להפריע לזרימת הדם מהורידים אל הלב. תופעה זו מובילה להפרעת זרימת דם לרקמות חיוניות בגוף ולכן מכונה הלם קרדיוגני. סימנים נוספים המאפיינים חזה אויר בלחץ: א - ל הסימנים של חזה אויר רגיל. ב - גודש ורידי צוואר (בגלל שהדם לא מצליח לחזור מהצוואר אל הלב). ג - ירידה בלחץ דם (בגלל ההלם). ד - קנה מוסט (בגלל לחץ על המדיסטינום). ה - אמפיזמות תת עוריות (סוג של בועות כמו פצפצים של אויר שברח, בגלל הלחץ, אל מתחת לעור) ו - התדרדרות מצב ההכרה עד מוות."
אישה אומרת שנחנקה בעצם של דג ומתקשה לנשום. למה תחשדו?,השתנקות חמורה,השתנקות קלה,אלרגיה,שבץ מוחי,A1,
מה זה אנטומיה?,תורה החוקרת את מבנה הגוף ואיבריו,תורה החוקרת את התהליכים הכימיים בגוף,תורה החוקרת דרכי פעולתן של המחלות,ענף משנה של הפתולוגיה,A1,אנטומיה = מבנה הגוף. פיזיולוגיה = תפקוד. פתולוגיה = מחלות.
